TICKER;PRECO;ULTIMO DIVIDENDO;DY;VALOR PATRIMONIAL COTA;P/VP;LIQUIDEZ MEDIA DIARIA;PERCENTUAL EM CAIXA;CAGR DIVIDENDOS 3 ANOS; CAGR VALOR CORA 3 ANOS;PATRIMONIO;N COTISTAS;GESTAO; N COTAS
ABCP11;75,89;0,700000;9,22;106,92;0,71;58.177,91;1,83;1,47;7,04;503.496.718,25;15.558,00;Passiva;4.709.082,00
AFHI11;94,51;0,930000;13,19;95,58;0,99;1.109.564,82;9,19;-8,71;0,34;435.416.167,85;42.404,00;Ativa;4.555.618,00
AIEC11;42,42;0,620000;20,46;84,75;0,50;649.803,64;3,71;-1,13;-15,31;408.907.306,13;18.699,00;Ativa;4.824.987,00
AJFI11;7,29;0,070000;11,52;12,25;0,60;631.469,23;0,70;;;387.523.963,60;13.438,00;Ativa;31.625.978,00
ALMI11;577,11;5,000000;2,47;2.172,91;0,27;24.991,77;4,23;;-16,77;241.578.065,81;2.105,00;Passiva;111.177,00
ALZC11;91,50;1,250000;9,02;63,81;1,43;393.275,59;3,50;;;118.155.565,38;8.102,00;;1.851.786,00
ALZM11;7,25;0,085000;15,78;8,07;0,90;200.172,86;4,88;-4,82;-54,99;122.568.479,22;12.022,00;Ativa;15.180.540,00
ALZR11;100,32;0,775000;9,97;105,55;0,95;1.995.116,18;21,73;-13,15;-0,10;1.290.578.615,61;157.190,00;Ativa;12.226.625,00
ANCR11B;3.221,00;1,570972;1,37;108,69;29,63;3.221,00;1,61;;;2.905.722.882,79;139,00;Ativa;26.735.046,00
APTO11;9,08;0,090000;11,89;9,89;0,92;64.174,86;4,82;;;45.623.457,79;9.226,00;Ativa;4.612.227,00
APXM11;101,89;0,473638;6,94;97,28;1,05;166.517,05;0,82;;;217.304.809,90;468,00;;2.233.749,00
APXR11;100,00;;0,00;79,99;1,25;13,64;0,47;;;8.763.816,05;130,00;;109.567,00
APXU11;0,00;;0,00;88,43;;;94,67;;;8.979.090,11;40,00;Ativa;101.542,00
AQLL11;385,03;;0,00;939,49;0,41;;0,06;;;136.994.582,70;84,00;Ativa;145.817,00
ARFI11B;479,99;;0,00;63,81;7,52;;3,50;;;118.155.565,38;8.102,00;;1.851.786,00
AROA11;1,11;0,006200;6,58;0,99;1,12;8.978,91;1,49;;;165.880.674,15;3.432,00;Ativa;167.926.832,00
ARRI11;8,65;0,090000;13,76;8,57;1,01;495.476,00;13,32;-9,31;-0,46;168.402.861,21;26.931,00;Ativa;19.646.886,00
ARXD11;8,29;0,100000;14,84;95,91;0,09;159.723,05;4,37;;;86.427.918,96;1.310,00;Ativa;901.117,00
ASMT11;37,00;0,770000;0,00;91,33;0,41;1.546,27;3,81;;-28,56;98.751.193,07;464,00;Ativa;1.081.257,00
ASRF11;10.942,00;256,328699;0,00;9.415,57;1,16;68.679,18;10,65;;;27.700.614,03;68,00;Ativa;2.942,00
ATCR11;0,00;0,228494;0,00;73,84;;;1,10;;;68.591.012,89;33,00;Ativa;928.908,00
ATSA11;51,05;0,500000;2,39;76,69;0,67;1.343,14;1,32;17,56;-19,31;134.299.450,74;287,00;Passiva;1.751.141,00
ATWN11;0,00;;0,00;2.073,95;;;0,71;;;333.401.376,91;2,00;Passiva;160.757,00
AURB11;86,00;0,200000;0,23;76,30;1,13;33,91;0,36;;;68.553.124,23;18,00;Ativa;898.514,00
AZPE11;0,00;;0,00;10,12;;;1,81;;;70.154.733,72;7,00;Ativa;6.930.000,00
AZPL11;7,25;0,082000;3,96;9,89;0,73;600.621,36;0,67;;;180.094.907,84;6.164,00;Ativa;18.209.646,00
