TICKER;PRECO;ULTDIV;DY;VPC;PVP;LIQD;CAIXA;CAGRDIV;CAGRVLR;PATRIMONIO;NCOTISTAS;GESTAO;NCOTA
ABCP11;77.95;0.7;9.88;106.92;0.73;57615.95;1.83;1.5;9.83;503496718.25;15558.0;Passiva;4709082.0
AFHI11;93.25;0.93;12.28;94.88;0.98;1019964.57;4.69;-8.71;0.63;432224228.96;42539.0;Ativa;4555618.0
AIEC11;44.92;0.62;20.7;84.94;0.53;522585.19;4.35;-2.24;-11.28;409856001.38;18874.0;Ativa;4824987.0
AJFI11;7.3;0.07;11.51;12.25;0.6;519329.14;5.4;;;387514867.4;13191.0;Ativa;31625978.0
ALMI11;570.0;7.0;3.73;2172.28;0.26;21019.81;4.28;;-17.11;241507669.88;2092.0;Passiva;111177.0
ALZC11;93.96;1.25;8.79;63.81;1.47;570819.52;3.5;;;118155565.38;8102.0;;1851786.0
ALZM11;6.29;0.085;16.75;7.94;0.79;157051.67;8.33;-4.82;-57.67;120540353.6;12138.0;Ativa;15180540.0
ALZR11;99.69;0.775;9.2;105.35;0.95;1833793.0;14.75;-13.15;0.06;1288080789.12;154533.0;Ativa;12226625.0
ANCR11B;3221.0;1.570972;1.37;108.69;29.63;3221.0;1.61;;;2905722882.79;139.0;Ativa;26735046.0
APTO11;9.0;0.09;13.0;9.89;0.91;48614.76;4.82;-4.02;;45623457.79;9226.0;Ativa;4612227.0
APXM11;99.9;0.357142;6.9;97.67;1.02;167255.57;0.67;;;241689923.79;535.0;;2474535.0
APXR11;100.0;;0.0;79.67;1.26;14.29;0.11;;;8728918.75;130.0;;109567.0
APXU11;0.0;;0.0;88.75;;;94.72;;;9011812.87;40.0;Ativa;101542.0
AQLL11;385.03;;0.0;939.49;0.41;;0.06;;;136994582.7;84.0;Ativa;145817.0
ARFI11B;479.99;;0.0;63.81;7.52;;3.5;;;118155565.38;8102.0;;1851786.0
AROA11;1.03;0.0062;7.69;0.99;1.04;6272.19;1.44;;;165793201.12;3865.0;Ativa;167926832.0
ARRI11;8.62;0.09;14.85;8.6;1.0;548471.1;3.88;-9.24;-1.17;168951920.31;26287.0;Ativa;19646886.0
ARXD11;8.48;0.1;15.68;95.91;0.09;140018.14;4.37;;;86427918.96;1310.0;Ativa;901117.0
